1,0,0.0348091,0
2,0.000953674,0.0388622,0.0245399
4,0,0.0331402,0
8,0.000953674,0.0629425,0.0151515
16,0.000953674,0.0669956,0.0142349
32,0.00286102,0.0760555,0.0376176
64,0.00596046,0.0929832,0.0641026
128,0.013113,0.117779,0.111336
256,0.0259876,0.154972,0.167692
512,0.056982,0.189066,0.301387
1024,0.139952,0.281096,0.49788
2048,0.294924,0.324965,0.907557
4096,0.638008,0.362873,1.75821
8192,1.53494,0.452995,3.38842
16384,2.89798,0.550032,5.26875
32768,6.69503,0.78702,8.50682
65536,13.7501,1.52802,8.9986
131072,29.5999,3.01695,9.81121
262144,62.2709,5.40805,11.5145
524288,131.633,10.586,12.4346
1048576,273.555,25.1939,10.858
2097152,570.841,51.1911,11.1512
4194304,1203.7,106.768,11.274
8388608,2527.42,239.805,10.5395
16777216,5275.59,489.193,10.7843
33554432,10820.7,1018.13,10.6281
67108864,22313.5,2146.03,10.3976
134217728,46692,4458.85,10.4718
